emp_no,first_name,last_name,title,from_date,salary
10404,Prodip,Rosti,Senior Engineer,8/28/1996,51647
10035,Alain,Chappelet,Senior Engineer,9/5/1996,41538
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994,67854
10058,Berhard,McFarlin,Senior Staff,4/25/1988,52787
10066,Kwee,Schusler,Assistant Engineer,2/26/1986,69736
10066,Kwee,Schusler,Engineer,2/26/1992,69736
10426,Arunas,Luce,Technique Leader,7/6/1985,65757
10066,Kwee,Schusler,Senior Engineer,2/25/1998,69736
10429,Martien,Improta,Senior Engineer,9/23/1988,40000
10067,Claudi,Stavenow,Engineer,3/4/1987,44642
10432,Hisao,Tiemann,Senior Staff,8/12/1996,40000
10432,Hisao,Tiemann,Staff,8/13/1990,40000
10067,Claudi,Stavenow,Senior Engineer,3/3/1996,44642
10070,Reuven,Garigliano,Technique Leader,10/14/1985,55999
10072,Hironoby,Sidou,Engineer,5/21/1989,40000
10072,Hironoby,Sidou,Senior Engineer,5/21/1995,40000
10442,Volkmar,Unno,Senior Staff,2/12/1999,46005
10442,Volkmar,Unno,Staff,2/12/1992,46005
10076,Erez,Ritzmann,Senior Engineer,7/15/1996,47319
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993,65957
10451,Bodh,Ranta,Assistant Engineer,3/12/1988,46275
10451,Bodh,Ranta,Engineer,3/12/1993,46275
10451,Bodh,Ranta,Senior Engineer,3/12/1998,46275
10453,Tsvetan,Matzel,Senior Staff,4/2/1993,40000
10453,Tsvetan,Matzel,Staff,4/2/1985,40000
10463,Ung,Zaiane,Staff,2/17/1994,66480
10466,Jiakeng,Himler,Staff,8/22/1997,55318
10088,Jungsoon,Syrzycki,Staff,9/2/1988,65957
10504,Xiong,Varker,Staff,10/19/1999,43931
10486,Amstein,Kossowski,Engineer,10/8/1987,71692
10486,Amstein,Kossowski,Senior Engineer,10/7/1996,71692
10494,Yakkov,Servieres,Engineer,12/18/1991,50094
10494,Yakkov,Servieres,Senior Engineer,12/17/2000,50094
10512,Udi,Gihr,Senior Staff,11/28/1998,40000
10591,Hidde,Hettesheimer,Staff,6/18/1987,55131
10512,Udi,Gihr,Staff,11/28/1989,40000
10519,Yonghoan,Alencar,Senior Staff,12/5/2000,40000
10608,Adhemar,Talmor,Senior Engineer,5/25/1986,40000
10519,Yonghoan,Alencar,Staff,12/5/1992,40000
10522,Marke,Cesareni,Senior Staff,12/12/1995,40000
10617,Hidekazu,Angel,Senior Staff,10/30/1991,40000
10623,Aleksander,Danlos,Engineer,1/15/1992,60268
10623,Aleksander,Danlos,Senior Engineer,1/15/1999,60268
10628,Krisda,Krogh,Assistant Engineer,3/14/1987,41650
10628,Krisda,Krogh,Engineer,3/14/1994,41650
10628,Krisda,Krogh,Senior Engineer,3/14/2001,41650
10629,Lalit,Francisci,Staff,10/20/1999,87045
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994,40000
10522,Marke,Cesareni,Staff,12/12/1986,40000
10642,Hirochika,Narlikar,Engineer,10/5/1998,40000
10653,Otmar,Feinberg,Senior Engineer,4/30/1987,40000
10671,Parviz,Rebaine,Senior Staff,9/13/2001,74037
10671,Parviz,Rebaine,Staff,9/14/1995,74037
10672,Bluma,Zeilberger,Senior Engineer,9/29/1991,64663
10676,Valeri,Danley,Engineer,9/4/1999,58226
10693,Berhard,Daescu,Senior Staff,1/8/1991,40000
10693,Berhard,Daescu,Staff,1/8/1986,40000
10694,Rildo,Straney,Senior Staff,1/25/1993,53020
10694,Rildo,Straney,Staff,1/26/1988,53020
10702,Bader,Szemeredi,Senior Engineer,1/14/1991,46581
10718,Adib,Rullman,Engineer,7/21/1988,75473
10718,Adib,Rullman,Senior Engineer,7/21/1997,75473
10726,Zita,Minakawa,Engineer,2/25/1992,46315
10726,Zita,Minakawa,Senior Engineer,2/24/2001,46315
10538,Przemyslawa,Falby,Senior Engineer,7/23/1987,72002
10731,Fumitaka,Peak,Senior Staff,2/20/1994,77892
10731,Fumitaka,Peak,Staff,2/20/1987,77892
10734,Sachar,Erdi,Engineer,12/19/1995,47377
10745,Poorav,Ranze,Engineer,1/23/1988,40000
10745,Poorav,Ranze,Senior Engineer,1/22/1997,40000
10749,King,Brendel,Engineer,9/26/1985,60829
10749,King,Brendel,Senior Engineer,9/26/1990,60829
10751,Jordanka,Ushiama,Engineer,12/14/1999,50052
10767,Monique,Doering,Staff,7/15/1997,40651
10768,Ishfaq,Candan,Engineer,7/4/1985,65717
10768,Ishfaq,Candan,Senior Engineer,7/4/1990,65717
10541,Godehard,Eiter,Staff,2/28/1986,50741
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993,90631
10548,Ramalingam,Gunderson,Staff,7/4/1986,90631
10777,Mizuhito,Kemmerer,Engineer,3/17/1990,40000
10777,Mizuhito,Kemmerer,Senior Engineer,3/16/1996,40000
10564,Jianhao,Thisen,Engineer,11/23/1995,46660
10778,Selwyn,Merey,Senior Staff,7/4/1986,64996
10791,Tadahiko,Sgarro,Engineer,7/30/1988,40000
10791,Tadahiko,Sgarro,Senior Engineer,7/31/1995,40000
10795,Supot,Naudin,Senior Staff,5/3/1999,84206
10795,Supot,Naudin,Staff,5/3/1993,84206
10564,Jianhao,Thisen,Senior Engineer,11/22/2000,46660
10803,Katsuyuki,Velasco,Engineer,4/20/1988,54260
10803,Katsuyuki,Velasco,Senior Engineer,4/20/1997,54260
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987,40000
10575,Theirry,Yeung,Senior Engineer,10/4/1988,40523
10895,Vishwani,Petersohn,Staff,4/26/1986,67103
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995,40000
10836,Jianhua,Leivant,Senior Staff,8/10/1987,65502
10844,Dipayan,Koprowski,Engineer,4/25/1997,40000
10847,Theirry,Danley,Senior Staff,7/24/1992,40000
10847,Theirry,Danley,Staff,7/25/1986,40000
10848,Fen,Bratsberg,Engineer,4/20/1985,50475
10848,Fen,Bratsberg,Senior Engineer,4/20/1992,50475
10909,Georgi,Atchley,Engineer,12/26/1993,80935
10867,Billur,Gyorkos,Engineer,3/23/1997,40000
10909,Georgi,Atchley,Senior Engineer,12/26/2000,80935
10878,Lakshmi,Deville,Staff,4/25/1997,72102
10879,Muzhong,Chleq,Senior Engineer,8/15/1985,65651
10883,Shimshon,Champarnaud,Engineer,12/28/1996,40000
10912,Oscal,Fasbender,Senior Staff,4/23/1991,45665
10912,Oscal,Fasbender,Staff,4/23/1986,45665
10918,Susumu,Reghbati,Staff,1/29/1990,59521
10989,Sumali,Candan,Senior Staff,7/20/1991,46406
10989,Sumali,Candan,Staff,7/20/1985,46406
10990,Shin,Foote,Technique Leader,8/6/1990,40000
10921,Mara,Bahi,Engineer,7/27/1986,72601
10921,Mara,Bahi,Senior Engineer,7/27/1995,72601
10924,Hironoby,Atchley,Senior Staff,8/14/1997,84783
10924,Hironoby,Atchley,Staff,8/14/1988,84783
11009,Alper,Axelband,Senior Staff,9/9/1993,75111
11009,Alper,Axelband,Staff,9/9/1986,75111
10927,Gal,Scallan,Senior Staff,9/12/1993,51819
11012,Taegyun,Speckmann,Staff,7/6/1996,72092
11019,Leon,Huttel,Engineer,5/24/1992,69387
11019,Leon,Huttel,Senior Engineer,5/24/1997,69387
10927,Gal,Scallan,Staff,9/12/1986,51819
11021,Srinidhi,Henders,Staff,2/2/1998,62670
10936,Mountaz,Schicker,Senior Staff,5/8/1996,40000
11027,Remzi,Cappello,Assistant Engineer,5/7/1986,40000
11027,Remzi,Cappello,Engineer,5/7/1991,40000
11027,Remzi,Cappello,Senior Engineer,5/6/1996,40000
11028,Miyeon,Krider,Engineer,6/18/1986,41111
11028,Miyeon,Krider,Senior Engineer,6/18/1991,41111
11031,Ottavia,Walstra,Senior Staff,10/24/1993,71654
11031,Ottavia,Walstra,Staff,10/24/1985,71654
11037,Lansing,Maliniak,Engineer,1/28/1988,40000
11037,Lansing,Maliniak,Senior Engineer,1/28/1995,40000
11038,Jinya,Beidas,Senior Staff,7/15/1992,44993
11038,Jinya,Beidas,Staff,7/15/1985,44993
10936,Mountaz,Schicker,Staff,5/9/1990,40000
11042,Gou,Breugel,Engineer,6/21/1993,40000
11042,Gou,Breugel,Senior Engineer,6/21/2000,40000
10943,Berna,Skafidas,Engineer,5/22/1993,45890
11048,Jaques,Demke,Senior Staff,5/27/1999,65697
11050,Elvis,Katiyar,Senior Staff,5/6/1991,52251
11050,Elvis,Katiyar,Staff,5/6/1986,52251
11051,Przemyslawa,Erol,Engineer,3/27/1991,40000
11051,Przemyslawa,Erol,Senior Engineer,3/26/2000,40000
10943,Berna,Skafidas,Senior Engineer,5/22/1999,45890
10965,Eckart,Braunschweig,Senior Staff,7/29/1986,61654
11070,Adib,Raney,Engineer,7/24/1985,40000
11070,Adib,Raney,Senior Engineer,7/24/1991,40000
11081,Barry,Boyle,Senior Staff,6/17/1994,65686
11081,Barry,Boyle,Staff,6/17/1985,65686
11085,Hailing,Thummel,Senior Engineer,2/10/1996,66437
10969,Premal,Noriega,Senior Engineer,5/12/1994,40000
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999,56005
11100,Berna,Cochrane,Senior Staff,10/13/1993,40000
11100,Berna,Cochrane,Staff,10/13/1986,40000
10986,Masako,Schiper,Technique Leader,10/11/1985,43900
11106,Aris,Iwayama,Assistant Engineer,8/31/1985,71446
11106,Aris,Iwayama,Engineer,8/31/1991,71446
11106,Aris,Iwayama,Senior Engineer,8/30/1997,71446
11110,Valeska,Birjandi,Staff,11/14/1987,43063
11112,Boaz,Mukaidono,Staff,4/28/1995,40000
11113,Shahab,Peng,Senior Staff,11/30/1991,66401
11113,Shahab,Peng,Staff,11/30/1985,66401
10988,Chinya,Deyuan,Senior Engineer,6/19/1985,54174
11121,Vugranam,Kakkad,Engineer,10/31/1992,40000
11121,Vugranam,Kakkad,Senior Engineer,11/1/1999,40000
11133,Nalini,Azulay,Technique Leader,3/6/1994,40000
11134,Sachar,Rajcani,Engineer,5/19/1993,58731
11134,Sachar,Rajcani,Senior Engineer,5/19/2002,58731
11137,Hugh,Luca,Engineer,3/16/1995,40000
11139,Bogdan,Homond,Senior Staff,5/11/1995,63596
11139,Bogdan,Homond,Staff,5/11/1990,63596
11146,Ishfaq,Masand,Senior Staff,8/21/1997,96019
11146,Ishfaq,Masand,Staff,8/22/1991,96019
11148,Zhanqiu,Botman,Senior Staff,2/8/1997,56344
11148,Zhanqiu,Botman,Staff,2/8/1990,56344
11162,Kauko,Narlikar,Engineer,3/28/1985,69873
11162,Kauko,Narlikar,Senior Engineer,3/28/1990,69873
11180,Mitsuyuki,Bojadziev,Engineer,6/11/1986,40000
11180,Mitsuyuki,Bojadziev,Senior Engineer,6/10/1992,40000
11197,Tadahiro,Fordan,Senior Staff,9/12/1989,88741
11203,Sakthirel,Yetto,Senior Staff,1/6/1996,68049
11203,Sakthirel,Yetto,Staff,1/6/1988,68049
11204,Diederik,Covnot,Technique Leader,9/18/1985,40000
11207,Saeed,Gips,Engineer,1/31/1999,49728
11290,Visit,Dredge,Engineer,5/13/1999,65034
11208,Saniya,Valtorta,Technique Leader,11/17/1994,83660
11211,Yurij,Rissland,Senior Engineer,9/17/1985,72668
11217,Kellie,Mawatari,Senior Engineer,3/11/1990,40000
11232,Hidefumi,Crelier,Senior Staff,8/1/2000,43863
11232,Hidefumi,Crelier,Staff,8/2/1994,43863
11240,Kiam,Condotta,Assistant Engineer,1/6/1989,61739
11240,Kiam,Condotta,Engineer,1/6/1997,61739
11291,Gino,Glowinski,Senior Engineer,10/20/1985,54307
11295,Abdelkader,Lanzelotte,Senior Staff,5/15/1990,66622
11249,Randi,Cyre,Assistant Engineer,9/22/1986,43324
11249,Randi,Cyre,Engineer,9/22/1994,43324
11251,Bezalel,Chinal,Senior Staff,6/15/1993,69432
11251,Bezalel,Chinal,Staff,6/15/1986,69432
11295,Abdelkader,Lanzelotte,Staff,5/15/1985,66622
11319,Pranas,Marrakchi,Assistant Engineer,11/1/1998,40000
11268,Aimee,Petersohn,Engineer,10/25/1987,40000
11268,Aimee,Petersohn,Senior Engineer,10/25/1995,40000
11275,Hitomi,Eppinger,Engineer,4/25/1989,58382
11275,Hitomi,Eppinger,Senior Engineer,4/25/1998,58382
11320,Atilio,McAlpine,Senior Staff,4/6/1998,45118
11320,Atilio,McAlpine,Staff,4/6/1990,45118
11322,Nathalie,Pocchiola,Assistant Engineer,7/7/1985,43021
11380,Kenroku,Pelc,Assistant Engineer,4/19/1991,53345
11380,Kenroku,Pelc,Engineer,4/18/1996,53345
11380,Kenroku,Pelc,Senior Engineer,4/18/2001,53345
11385,Shiv,Ullian,Engineer,8/8/1999,40000
11386,Alselm,Assaf,Engineer,11/30/1987,47726
11386,Alselm,Assaf,Senior Engineer,11/29/1993,47726
11393,Junsik,Junot,Engineer,4/30/1985,40000
11393,Junsik,Junot,Senior Engineer,4/30/1992,40000
11322,Nathalie,Pocchiola,Engineer,7/7/1992,43021
11398,Oscar,Peir,Senior Staff,9/7/2001,44625
11398,Oscar,Peir,Staff,9/7/1994,44625
11322,Nathalie,Pocchiola,Senior Engineer,7/8/1999,43021
11404,Bedrich,Borovoy,Technique Leader,9/25/1990,42907
11324,Kauko,Billingsley,Senior Engineer,8/29/1985,54288
11338,Kwangsub,Hanratty,Senior Staff,10/28/1998,82210
11415,Sanjiv,Anido,Engineer,12/7/1996,40000
11421,Josyula,Msuda,Engineer,9/2/1986,52416
11421,Josyula,Msuda,Senior Engineer,9/2/1995,52416
11339,Flemming,Massonet,Senior Engineer,12/19/1989,40000
11431,Youngkon,Picht,Senior Staff,9/16/1991,44804
11431,Youngkon,Picht,Staff,9/16/1985,44804
11347,Anneli,Jonsson,Engineer,4/20/1986,41524
11441,Marlo,Aingworth,Senior Staff,3/27/1987,67352
11347,Anneli,Jonsson,Senior Engineer,4/19/1992,41524
11449,Kotesh,Asser,Engineer,2/3/1995,61434
11449,Kotesh,Asser,Senior Engineer,2/3/2000,61434
11365,Toshimi,Shinomoto,Engineer,12/18/1997,56463
11459,Duke,Suomi,Senior Staff,5/2/1992,40000
11459,Duke,Suomi,Staff,5/3/1986,40000
11461,Kish,Cronau,Engineer,8/19/1986,49398
11461,Kish,Cronau,Senior Engineer,8/18/1992,49398
11469,Guttorm,Giaccio,Engineer,9/8/1994,44625
11469,Guttorm,Giaccio,Senior Engineer,9/8/1999,44625
11376,Valery,Suomi,Senior Staff,3/14/1994,46964
11477,Fox,Narahari,Engineer,7/28/1996,40000
11376,Valery,Suomi,Staff,3/14/1986,46964
11578,Edwin,Rosti,Engineer,11/22/1985,40000
11501,Karsten,Ranum,Senior Staff,10/24/1999,48608
11501,Karsten,Ranum,Staff,10/24/1991,48608
11506,Rance,Picel,Staff,4/8/1996,89747
11578,Edwin,Rosti,Senior Engineer,11/22/1991,40000
11509,Aleksander,Feldhoffer,Engineer,11/12/1987,40000
11509,Aleksander,Feldhoffer,Senior Engineer,11/11/1992,40000
11513,Otmar,Mahnke,Senior Staff,8/25/1998,82525
11513,Otmar,Mahnke,Staff,8/25/1992,82525
11515,Ulf,Basawa,Staff,9/21/1998,70182
11518,Jinxi,Oxman,Senior Staff,9/22/1999,40000
11518,Jinxi,Oxman,Staff,9/22/1994,40000
11524,Xiadong,Standera,Senior Engineer,7/5/1996,41081
11588,Kaijung,Panangaden,Senior Staff,12/24/1994,40000
11527,Alagu,Boyle,Staff,1/28/1999,60212
11528,Zito,Dolinsky,Technique Leader,6/15/1987,44026
11537,DAIDA,Pehl,Senior Staff,7/6/1986,96023
11603,Herb,Swen,Senior Staff,4/13/1994,69180
11554,Subhash,Taubenfeld,Staff,7/15/1998,46065
11555,Kotesh,Perfilyeva,Senior Staff,10/14/1991,40000
11555,Kotesh,Perfilyeva,Staff,10/14/1986,40000
11562,Rimli,Alencar,Engineer,6/30/1988,82255
11567,Teiji,Mitzlaff,Senior Staff,2/3/1996,86261
11567,Teiji,Mitzlaff,Staff,2/3/1988,86261
11568,Martins,Fujisaki,Engineer,3/13/1992,54673
11568,Martins,Fujisaki,Senior Engineer,3/13/2000,54673
11603,Herb,Swen,Staff,4/13/1985,69180
11607,Tomokazu,Foong,Engineer,4/19/1995,49584
11615,Shem,Isaak,Senior Staff,8/28/2000,46591
11615,Shem,Isaak,Staff,8/29/1991,46591
11673,Henk,Felder,Technique Leader,6/10/1989,40000
11676,Valeri,Ferriere,Engineer,7/15/1998,43310
11624,Adil,Gammage,Engineer,7/15/1989,42001
11681,Fumitake,Benzmuller,Engineer,8/27/1988,40000
11681,Fumitake,Benzmuller,Senior Engineer,8/28/1995,40000
11684,Oksana,Gide,Senior Staff,2/21/1995,68753
11684,Oksana,Gide,Staff,2/21/1986,68753
11696,Dante,Rothe,Senior Staff,10/23/1994,51633
11696,Dante,Rothe,Staff,10/23/1985,51633
11705,Arve,Hofmeyr,Senior Staff,10/30/1990,79701
11705,Arve,Hofmeyr,Staff,10/30/1985,79701
11732,Sanjoy,Ranft,Senior Engineer,12/22/1996,40000
11735,Amalendu,Picci,Senior Staff,7/14/1997,40000
11735,Amalendu,Picci,Staff,7/14/1988,40000
11738,Tadahiro,Lichtman,Engineer,6/19/1986,58432
11738,Tadahiro,Lichtman,Senior Engineer,6/18/1992,58432
11746,Koichi,Marrakchi,Senior Staff,11/18/1995,55951
11746,Koichi,Marrakchi,Staff,11/17/1988,55951
11747,Aksel,Kossowski,Senior Staff,2/20/1993,90239
11747,Aksel,Kossowski,Staff,2/20/1986,90239
11751,Jiafu,Emiris,Senior Staff,11/3/1993,40000
11751,Jiafu,Emiris,Staff,11/3/1988,40000
11764,Sanjay,Anick,Engineer,12/16/1991,64875
11764,Sanjay,Anick,Senior Engineer,12/15/1996,64875
11769,Chandrasekaran,Lampe,Senior Staff,10/22/2001,40000
11769,Chandrasekaran,Lampe,Staff,10/22/1993,40000
11772,Gaurav,Penz,Engineer,11/7/1999,61295
11797,Chenxi,Thambidurai,Senior Staff,8/30/1996,88050
11797,Chenxi,Thambidurai,Staff,8/30/1988,88050
11805,Rosine,Grandbois,Assistant Engineer,9/1/1985,40000
11810,Amabile,Bhattacharjee,Senior Engineer,1/5/1992,41256
11813,Gita,Muhlberg,Staff,3/16/1987,94687
11817,Niranjan,Markovitch,Senior Staff,4/12/1993,50638
11817,Niranjan,Markovitch,Staff,4/12/1986,50638
11832,Arto,Zlotek,Engineer,2/4/1996,40000
11838,Taiji,Nitta,Staff,7/11/1986,68674
11844,Shawna,Demeyer,Engineer,1/27/1988,78049
11844,Shawna,Demeyer,Senior Engineer,1/27/1995,78049
11624,Adil,Gammage,Senior Engineer,7/15/1996,42001
11853,Zeljko,Kusakabe,Senior Staff,11/17/1996,61941
11853,Zeljko,Kusakabe,Staff,11/17/1988,61941
11857,Divier,Farrag,Senior Staff,8/27/1986,94805
11628,Fan,Malinowski,Engineer,10/23/1988,43966
11628,Fan,Malinowski,Senior Engineer,10/23/1997,43966
11640,Valeri,Coorg,Senior Engineer,9/26/1988,52520
11864,Pradeep,Kriebel,Staff,11/2/1995,52517
11871,Nalini,Sommen,Engineer,10/13/1993,67424
11871,Nalini,Sommen,Senior Engineer,10/13/1998,67424
11872,Cheong,Riexinger,Senior Staff,2/12/2002,43159
11872,Cheong,Riexinger,Staff,2/12/1994,43159
11883,Nectarios,Bhattacharjee,Engineer,4/16/1988,58135
11647,Magy,Nitsche,Engineer,5/11/1988,40000
11894,Mitchel,Validov,Senior Engineer,6/22/1988,56198
11897,Cordelia,Setlzner,Senior Staff,6/16/1997,80049
11897,Cordelia,Setlzner,Staff,6/16/1988,80049
11647,Magy,Nitsche,Senior Engineer,5/11/1993,40000
11906,Hideo,Boguraev,Engineer,2/7/1999,81324
11660,Gill,Stenning,Senior Staff,11/22/1994,65758
11915,Miomir,Mawatari,Engineer,6/28/1992,58042
11915,Miomir,Mawatari,Senior Engineer,6/28/2001,58042
11931,Gunilla,Chiodo,Senior Staff,1/13/2000,73369
11931,Gunilla,Chiodo,Staff,1/13/1991,73369
11933,Basil,Erman,Engineer,6/13/1987,56130
11933,Basil,Erman,Senior Engineer,6/12/1992,56130
11949,Martijn,Harbusch,Technique Leader,3/11/1985,40000
11660,Gill,Stenning,Staff,11/22/1986,65758
12062,Margareta,Worfolk,Senior Staff,1/4/1996,44199
11983,Jaana,Hedayat,Engineer,10/11/1986,40000
11983,Jaana,Hedayat,Senior Engineer,10/11/1994,40000
12069,Ayonca,Burnard,Assistant Engineer,5/13/1985,51928
11987,Vidya,Schaar,Senior Staff,10/17/1994,40000
11987,Vidya,Schaar,Staff,10/17/1988,40000
11988,Chinya,Chinin,Engineer,11/3/1985,57652
11988,Chinya,Chinin,Senior Engineer,11/3/1990,57652
11993,Marit,Dalphin,Senior Staff,10/22/1996,56505
12069,Ayonca,Burnard,Engineer,5/13/1990,51928
12069,Ayonca,Burnard,Senior Engineer,5/13/1995,51928
12011,Zhilian,Coorg,Senior Staff,7/22/1997,85833
12011,Zhilian,Coorg,Staff,7/22/1988,85833
12070,Ger,Shokrollahi,Technique Leader,11/14/1988,50233
12025,Jaewoo,Heiserman,Staff,2/28/1985,62126
12076,Karlis,Siprelle,Senior Staff,3/25/1985,75381
12033,Visit,Serot,Engineer,11/30/1997,49992
12036,Mads,Ratzlaff,Senior Staff,9/5/1995,67143
12036,Mads,Ratzlaff,Staff,9/5/1986,67143
12037,Arunas,Katzenelson,Senior Staff,9/30/1992,47805
12037,Arunas,Katzenelson,Staff,10/1/1986,47805
12082,Xinan,Yamaashi,Senior Staff,1/29/1992,72118
12050,Yuchang,Tchuente,Assistant Engineer,4/1/1989,46704
12050,Yuchang,Tchuente,Engineer,4/1/1996,46704
12052,Masako,Khasidashvili,Technique Leader,4/7/1986,40000
12082,Xinan,Yamaashi,Staff,1/29/1986,72118
12087,Weijing,Jumpertz,Engineer,8/16/1986,45432
12089,Bilhanan,Socorro,Senior Staff,10/22/1994,46288
12089,Bilhanan,Socorro,Staff,10/22/1986,46288
12159,Shem,Perly,Senior Engineer,7/17/1985,61210
12099,Nobuyoshi,Kuzuoka,Senior Staff,2/15/1999,104610
12165,Xiaobin,Maquelin,Senior Engineer,8/29/1994,41951
12173,Adel,Nanard,Senior Engineer,9/20/1998,58321
12183,Harngdar,Iisaku,Engineer,4/4/1998,40000
12192,Feiyu,Klyachko,Engineer,9/2/1986,41625
12192,Feiyu,Klyachko,Senior Engineer,9/2/1991,41625
12099,Nobuyoshi,Kuzuoka,Staff,2/15/1994,104610
12205,Sushant,Rossi,Senior Engineer,11/11/1987,40000
12206,Barton,Janetzko,Assistant Engineer,3/27/1985,40000
12206,Barton,Janetzko,Engineer,3/27/1993,40000
12206,Barton,Janetzko,Senior Engineer,3/27/2001,40000
12103,Becky,Erie,Staff,4/23/1990,56188
12218,Yaghout,Strooper,Engineer,3/12/1991,40000
12218,Yaghout,Strooper,Senior Engineer,3/11/2000,40000
12221,Vincent,Melter,Engineer,9/16/1985,56736
12221,Vincent,Melter,Senior Engineer,9/16/1991,56736
12222,Abdelwaheb,Holburn,Senior Staff,8/14/1996,55840
12222,Abdelwaheb,Holburn,Staff,8/15/1987,55840
12223,Niteen,Koyama,Engineer,8/13/1986,54459
12223,Niteen,Koyama,Senior Engineer,8/13/1995,54459
12112,Satyanarayana,Avouris,Senior Staff,9/26/1997,76538
12112,Satyanarayana,Avouris,Staff,9/26/1989,76538
12122,Satoru,Krone,Engineer,7/24/1987,46398
12247,Subbu,Penttonen,Technique Leader,4/9/1985,59183
12249,Eldridge,Sadowski,Engineer,6/21/1987,70099
12249,Eldridge,Sadowski,Senior Engineer,6/20/1996,70099
12254,Chaitali,Stafford,Engineer,12/23/1988,44848
