emp_no,first_name,last_name,title,to_date
11148,Zhanqiu,Botman,Senior Staff,1/1/9999
11162,Kauko,Narlikar,Senior Engineer,1/1/9999
11180,Mitsuyuki,Bojadziev,Senior Engineer,1/1/9999
11197,Tadahiro,Fordan,Senior Staff,1/1/9999
11203,Sakthirel,Yetto,Senior Staff,6/15/1996
11204,Diederik,Covnot,Technique Leader,1/1/9999
11207,Saeed,Gips,Engineer,1/1/9999
11208,Saniya,Valtorta,Technique Leader,1/1/9999
11211,Yurij,Rissland,Senior Engineer,1/1/9999
11217,Kellie,Mawatari,Senior Engineer,1/1/9999
11232,Hidefumi,Crelier,Senior Staff,1/1/9999
11240,Kiam,Condotta,Engineer,1/1/9999
11249,Randi,Cyre,Engineer,1/1/9999
11251,Bezalel,Chinal,Senior Staff,1/1/9999
11268,Aimee,Petersohn,Senior Engineer,1/1/9999
11275,Hitomi,Eppinger,Senior Engineer,1/1/9999
11290,Visit,Dredge,Engineer,1/1/9999
11291,Gino,Glowinski,Senior Engineer,4/15/2001
11295,Abdelkader,Lanzelotte,Senior Staff,1/1/9999
11319,Pranas,Marrakchi,Assistant Engineer,1/1/9999
11320,Atilio,McAlpine,Senior Staff,1/1/9999
11322,Nathalie,Pocchiola,Senior Engineer,1/1/9999
11324,Kauko,Billingsley,Senior Engineer,1/1/9999
11338,Kwangsub,Hanratty,Senior Staff,1/1/9999
11339,Flemming,Massonet,Senior Engineer,1/1/9999
11347,Anneli,Jonsson,Senior Engineer,1/1/9999
11365,Toshimi,Shinomoto,Engineer,1/1/9999
11376,Valery,Suomi,Senior Staff,1/1/9999
11380,Kenroku,Pelc,Senior Engineer,1/1/9999
11385,Shiv,Ullian,Engineer,1/1/9999
11386,Alselm,Assaf,Senior Engineer,1/1/9999
11393,Junsik,Junot,Senior Engineer,1/1/9999
11398,Oscar,Peir,Senior Staff,1/1/9999
11404,Bedrich,Borovoy,Technique Leader,1/1/9999
11415,Sanjiv,Anido,Engineer,1/1/9999
11421,Josyula,Msuda,Senior Engineer,1/1/9999
11431,Youngkon,Picht,Senior Staff,3/3/2001
11441,Marlo,Aingworth,Senior Staff,1/1/9999
11449,Kotesh,Asser,Senior Engineer,1/1/9999
11459,Duke,Suomi,Senior Staff,1/1/9999
11461,Kish,Cronau,Senior Engineer,7/20/1997
11469,Guttorm,Giaccio,Senior Engineer,1/1/9999
11477,Fox,Narahari,Engineer,9/12/1996
11501,Karsten,Ranum,Senior Staff,3/20/2002
11506,Rance,Picel,Staff,1/1/9999
11509,Aleksander,Feldhoffer,Senior Engineer,1/1/9999
11513,Otmar,Mahnke,Senior Staff,1/1/9999
11515,Ulf,Basawa,Staff,1/1/9999
11518,Jinxi,Oxman,Senior Staff,1/1/9999
11524,Xiadong,Standera,Senior Engineer,1/1/9999
11527,Alagu,Boyle,Staff,1/1/9999
11528,Zito,Dolinsky,Technique Leader,1/1/9999
11537,DAIDA,Pehl,Senior Staff,1/1/9999
11554,Subhash,Taubenfeld,Staff,1/1/9999
11555,Kotesh,Perfilyeva,Senior Staff,1/1/9999
11562,Rimli,Alencar,Engineer,12/13/1994
11567,Teiji,Mitzlaff,Senior Staff,1/1/9999
11568,Martins,Fujisaki,Senior Engineer,1/1/9999
11578,Edwin,Rosti,Senior Engineer,2/17/2002
11588,Kaijung,Panangaden,Senior Staff,6/12/1995
11603,Herb,Swen,Senior Staff,1/1/9999
11607,Tomokazu,Foong,Engineer,1/1/9999
11615,Shem,Isaak,Senior Staff,1/1/9999
11624,Adil,Gammage,Senior Engineer,1/1/9999
11628,Fan,Malinowski,Senior Engineer,1/1/9999
11640,Valeri,Coorg,Senior Engineer,1/1/9999
11647,Magy,Nitsche,Senior Engineer,1/1/9999
11660,Gill,Stenning,Senior Staff,1/1/9999
11673,Henk,Felder,Technique Leader,1/1/9999
11676,Valeri,Ferriere,Engineer,1/1/9999
11681,Fumitake,Benzmuller,Senior Engineer,1/1/9999
11684,Oksana,Gide,Senior Staff,1/1/9999
11696,Dante,Rothe,Senior Staff,1/1/9999
11705,Arve,Hofmeyr,Senior Staff,6/30/1994
11732,Sanjoy,Ranft,Senior Engineer,1/1/9999
11735,Amalendu,Picci,Senior Staff,1/1/9999
11738,Tadahiro,Lichtman,Senior Engineer,6/27/1995
11746,Koichi,Marrakchi,Senior Staff,1/1/9999
11747,Aksel,Kossowski,Senior Staff,1/16/1999
11751,Jiafu,Emiris,Senior Staff,1/1/9999
11764,Sanjay,Anick,Senior Engineer,1/1/9999
11769,Chandrasekaran,Lampe,Senior Staff,1/1/9999
11772,Gaurav,Penz,Engineer,1/1/9999
11797,Chenxi,Thambidurai,Senior Staff,1/1/9999
11805,Rosine,Grandbois,Assistant Engineer,2/5/1991
11810,Amabile,Bhattacharjee,Senior Engineer,1/1/9999
11813,Gita,Muhlberg,Staff,7/20/1991
11817,Niranjan,Markovitch,Senior Staff,1/1/9999
11832,Arto,Zlotek,Engineer,1/1/9999
11838,Taiji,Nitta,Staff,5/9/1991
11844,Shawna,Demeyer,Senior Engineer,1/1/9999
11853,Zeljko,Kusakabe,Senior Staff,1/1/9999
11857,Divier,Farrag,Senior Staff,1/1/9999
11864,Pradeep,Kriebel,Staff,1/1/9999
11871,Nalini,Sommen,Senior Engineer,1/1/9999
11872,Cheong,Riexinger,Senior Staff,1/1/9999
11883,Nectarios,Bhattacharjee,Engineer,10/28/1990
11894,Mitchel,Validov,Senior Engineer,1/1/9999
11897,Cordelia,Setlzner,Senior Staff,1/1/9999
11906,Hideo,Boguraev,Engineer,1/1/9999
11915,Miomir,Mawatari,Senior Engineer,1/1/9999
11931,Gunilla,Chiodo,Senior Staff,1/1/9999
11933,Basil,Erman,Senior Engineer,1/1/9999
11949,Martijn,Harbusch,Technique Leader,1/1/9999
11983,Jaana,Hedayat,Senior Engineer,1/1/9999
11987,Vidya,Schaar,Senior Staff,12/4/1997
11988,Chinya,Chinin,Senior Engineer,12/31/2001
11993,Marit,Dalphin,Senior Staff,1/1/9999
12011,Zhilian,Coorg,Senior Staff,1/1/9999
12025,Jaewoo,Heiserman,Staff,6/9/1990
12033,Visit,Serot,Engineer,2/7/1999
12036,Mads,Ratzlaff,Senior Staff,1/1/9999
12037,Arunas,Katzenelson,Senior Staff,1/1/9999
12050,Yuchang,Tchuente,Engineer,1/1/9999
12052,Masako,Khasidashvili,Technique Leader,8/29/1988
12062,Margareta,Worfolk,Senior Staff,1/1/9999
12069,Ayonca,Burnard,Senior Engineer,1/1/9999
12070,Ger,Shokrollahi,Technique Leader,1/1/9999
12076,Karlis,Siprelle,Senior Staff,1/1/9999
12082,Xinan,Yamaashi,Senior Staff,1/1/9999
12087,Weijing,Jumpertz,Engineer,3/24/1993
12089,Bilhanan,Socorro,Senior Staff,1/1/9999
12099,Nobuyoshi,Kuzuoka,Senior Staff,1/1/9999
12103,Becky,Erie,Staff,9/18/1992
12112,Satyanarayana,Avouris,Senior Staff,1/1/9999
12122,Satoru,Krone,Senior Engineer,1/1/9999
12123,Xiahua,Syrzycki,Senior Staff,1/1/9999
12125,Shounak,Erman,Engineer,1/1/9999
12128,Yannik,Barreiro,Staff,11/25/1998
12149,Suebskul,Grandbois,Senior Staff,1/1/9999
12159,Shem,Perly,Senior Engineer,1/1/9999
12165,Xiaobin,Maquelin,Senior Engineer,1/1/9999
12173,Adel,Nanard,Senior Engineer,5/20/2000
12183,Harngdar,Iisaku,Engineer,1/1/9999
12192,Feiyu,Klyachko,Senior Engineer,1/1/9999
12205,Sushant,Rossi,Senior Engineer,1/1/9999
12206,Barton,Janetzko,Senior Engineer,1/1/9999
12218,Yaghout,Strooper,Senior Engineer,1/1/9999
12221,Vincent,Melter,Senior Engineer,1/1/9999
12222,Abdelwaheb,Holburn,Senior Staff,1/1/9999
12223,Niteen,Koyama,Senior Engineer,1/1/9999
12247,Subbu,Penttonen,Technique Leader,1/1/9999
12249,Eldridge,Sadowski,Senior Engineer,1/1/9999
12254,Chaitali,Stafford,Engineer,10/31/1989
12256,Guadalupe,Reghbati,Senior Staff,1/1/9999
12264,Mart,Pagter,Engineer,1/1/9999
12270,Shakhar,Kornyak,Senior Staff,1/1/9999
12272,Behnaam,Grandbois,Senior Staff,1/1/9999
12274,Garnik,Papadias,Engineer,1/18/1989
12276,Yongmin,Lenart,Senior Engineer,9/25/2001
12303,Godehard,Braccini,Senior Staff,7/19/1988
12308,Mototsugu,Cronau,Senior Staff,1/1/9999
12311,Susanne,Lubachevsky,Senior Engineer,1/1/9999
12312,Chenye,Velasco,Engineer,12/18/1996
12327,DAIDA,Bruckman,Senior Engineer,1/1/9999
12335,Arnould,Genin,Senior Staff,6/19/2000
12341,Rasiah,Luga,Senior Engineer,1/1/9999
12343,Sorina,Slaats,Senior Staff,1/1/9999
12365,Kamakshi,Bisiani,Senior Engineer,1/1/9999
12373,Mooi,Driscoll,Senior Staff,1/1/9999
12395,Sanjit,Felder,Senior Staff,1/1/9999
12399,Mihalis,Luga,Senior Staff,1/1/9999
12411,Shao,Ibel,Senior Staff,1/1/9999
12413,Hugh,Gadepally,Senior Engineer,1/1/9999
12415,Uri,Sluis,Staff,10/10/1998
12417,Dannz,Spelt,Senior Engineer,1/1/9999
12422,Berhard,Demos,Senior Staff,1/1/9999
12451,Pramod,Marzano,Senior Engineer,3/18/1995
12454,Kerryn,Farris,Staff,1/1/9999
12464,Shai,Milicic,Staff,1/1/9999
12475,Filipe,Roison,Senior Engineer,1/1/9999
12478,Yahiko,Hopewell,Senior Staff,12/11/1998
12487,Mona,Reghbati,Senior Staff,1/1/9999
12489,Arnould,Munck,Senior Engineer,1/1/9999
12490,Jackson,Muchinsky,Senior Engineer,1/1/9999
12493,Filipp,Menhardt,Senior Engineer,12/4/1988
12497,Stein,Penz,Senior Staff,1/1/9999
12501,Morrie,Matheson,Senior Staff,1/1/9999
12504,Adly,Rosaz,Engineer,1/1/9999
12514,Tomofumi,Melter,Engineer,1/1/9999
12528,Conor,Cincotta,Senior Staff,1/1/9999
12534,Yongmao,Gerlach,Senior Engineer,1/1/9999
12541,Shih,Nanard,Senior Staff,1/1/9999
12542,Kazuhide,Bouloucos,Senior Staff,1/1/9999
12551,Jeane,Tzvieli,Senior Engineer,1/1/9999
12553,Aral,Vesna,Senior Staff,1/1/9999
12557,Stafford,Kopetz,Senior Engineer,1/1/9999
12589,Anoosh,Chleq,Senior Engineer,1/1/9999
12596,Breannda,Roisin,Senior Staff,1/1/9999
12601,Ghassan,Simkin,Senior Engineer,1/1/9999
12608,Nectarios,Mondadori,Senior Staff,1/1/9999
12635,Xinyu,Restivo,Senior Engineer,1/1/9999
12637,Poorav,Karner,Senior Staff,1/8/1999
12638,Yuqun,Seiwald,Engineer,1/1/9999
12642,Suebskul,Gips,Senior Staff,1/1/9999
12651,Pragnesh,Bael,Senior Staff,1/1/9999
12662,Leucio,Alvarado,Engineer,1/1/9999
12663,Nobuyoshi,Stellhorn,Technique Leader,1/1/9999
12664,Zhonghua,Parveen,Staff,1/1/9999
12678,Carrsten,Borovoy,Engineer,4/22/2000
12689,Luerbio,Boudaillier,Senior Engineer,1/1/9999
12691,Oddvar,Gils,Senior Engineer,1/1/9999
12694,Kazuhira,Luders,Engineer,5/30/1998
12697,Uri,Brizzi,Senior Staff,1/1/9999
12709,Ronghao,Botman,Senior Engineer,1/1/9999
12717,Tzu,Jiafu,Staff,1/1/9999
12722,Elliott,Cheshire,Senior Staff,1/1/9999
12726,Fumitake,Panwar,Senior Engineer,1/1/9999
12729,Nahla,Rahier,Senior Engineer,1/1/9999
12730,Barry,Perl,Technique Leader,3/24/1998
12731,Yongmao,Waymire,Senior Staff,1/1/9999
12732,Mara,Takanami,Senior Staff,1/1/9999
12734,Gil,Frijda,Senior Engineer,1/1/9999
12755,Rildo,Rodite,Senior Staff,1/1/9999
12759,LiMin,Kuszyk,Senior Staff,1/2/1996
12773,Jenwei,Lovengreen,Senior Engineer,1/1/9999
12775,Mariangiola,Berendt,Engineer,4/5/2002
12790,Gunilla,Perl,Senior Staff,1/1/9999
12795,Masoud,Fordan,Senior Staff,1/1/9999
12798,Lillian,Beeson,Senior Staff,1/1/9999
12803,Gad,Boissier,Senior Staff,1/1/9999
12815,Sushant,Junot,Senior Staff,1/1/9999
12816,Freyja,Ramras,Senior Engineer,9/8/1999
12819,Mountaz,Gubsky,Senior Engineer,1/1/9999
12846,Krisda,Cyne,Senior Staff,1/15/2001
12848,Kazuhide,Smeets,Engineer,1/1/9999
12853,Mang,Brobst,Senior Staff,10/3/1996
12863,Leif,Matheson,Senior Engineer,1/1/9999
12872,Marl,Schmittgen,Senior Staff,1/1/9999
12876,Apostol,Goodrum,Engineer,12/24/2000
12879,Baruch,Eugenio,Senior Engineer,1/1/9999
12888,Martien,Erni,Senior Staff,4/7/1995
12890,Neven,Casley,Senior Staff,1/1/9999
12893,Licheng,Crouzet,Senior Staff,1/1/9999
12895,Roddy,Serot,Senior Engineer,1/1/9999
12905,Munehiro,Gecsei,Senior Engineer,1/1/9999
12922,Jacqueline,Porenta,Senior Staff,9/16/1993
12926,Heekeun,Luby,Senior Staff,1/1/9999
12937,Arup,Cincotta,Staff,12/14/1992
12940,Odinaldo,Farrar,Senior Engineer,1/1/9999
12941,Tommaso,Perelgut,Senior Engineer,1/1/9999
12949,Geoff,Asrin,Senior Engineer,1/1/9999
12951,Mohammad,Keirsey,Senior Staff,7/27/1994
12972,Juyoung,Azevdeo,Staff,8/7/1990
12974,Gift,Frolund,Senior Staff,11/3/1994
12977,Byong,Markovitch,Senior Engineer,1/1/9999
12983,Elliott,Hambrick,Staff,1/1/9999
13012,Florina,Harbusch,Senior Engineer,5/24/2002
13030,Yahiko,Kroll,Senior Staff,1/1/9999
13046,Vivian,Stafford,Senior Staff,1/1/9999
13047,Atilio,Chelton,Senior Engineer,1/1/9999
13049,Fan,Naudin,Staff,1/8/1986
13062,Xinglin,Baak,Technique Leader,5/31/2000
13075,Rosella,Morrin,Senior Staff,1/1/9999
13076,Deniz,Skafidas,Engineer,1/1/9999
13096,Ibibia,Armand,Senior Engineer,1/1/9999
13103,Srinidhi,Ellozy,Senior Engineer,1/1/9999
13113,Kwun,Landherr,Staff,10/7/1996
13124,Quingbo,Garnick,Senior Staff,1/1/9999
13133,Guther,Senzako,Senior Staff,1/1/9999
13134,Lorien,Chepyzhov,Senior Engineer,1/1/9999
13144,Persi,Nollmann,Senior Staff,1/1/9999
13146,Haldon,Erie,Senior Staff,1/1/9999
13147,Shichao,Ginesta,Senior Staff,1/1/9999
13156,Akeel,Millington,Senior Engineer,1/1/9999
13165,Lucian,Benner,Senior Engineer,1/1/9999
13168,Munir,Stentiford,Senior Engineer,1/1/9999
13170,Cheong,Bernardeschi,Senior Staff,1/1/9999
13171,Anoosh,Birnbaum,Senior Engineer,1/1/9999
13173,Arve,Horswill,Senior Staff,1/1/9999
13179,Moty,Janocha,Staff,1/1/9999
13182,Kokou,Rodite,Engineer,1/1/9999
13186,Kyoichi,Barbanera,Senior Staff,1/1/9999
13192,Rosita,Flowers,Technique Leader,1/1/9999
13202,Aram,Scharstein,Senior Staff,1/1/9999
13210,Jianhua,Klassen,Senior Staff,1/1/9999
13213,Hein,Billawala,Senior Staff,1/1/9999
13221,Premsyl,Famili,Senior Staff,10/21/1998
13232,Mitchel,Fujisaki,Technique Leader,1/1/9999
13233,Alselm,Chvatal,Senior Engineer,1/1/9999
13238,Ebru,Foote,Senior Staff,1/1/9999
13240,King,Pileggi,Senior Engineer,1/1/9999
13243,Fay,Huxford,Staff,11/11/1999
13250,Zeydy,Schusler,Senior Engineer,1/1/9999
13272,Arun,Jiang,Senior Staff,1/1/9999
13276,Yechiam,Seuren,Senior Staff,1/1/9999
13288,Muneo,Broomell,Senior Staff,1/1/9999
13291,Georg,Stamatiou,Senior Engineer,1/1/9999
13299,Guiseppe,Butner,Staff,9/13/1998
13302,Mack,Alencar,Senior Engineer,1/1/9999
13305,Bikash,Herath,Senior Staff,1/19/1995
13315,Sakthirel,Stroustrup,Senior Engineer,1/1/9999
13332,Nidapan,Pearson,Senior Engineer,1/1/9999
13333,Yoshinari,Hennebert,Engineer,1/1/9999
13341,Bodh,Doering,Senior Staff,1/1/9999
13343,Heon,Usery,Senior Staff,1/1/9999
13368,Kiyokazu,Klassen,Staff,1/1/9999
13371,Nakhoon,Riexinger,Senior Engineer,1/1/9999
13373,Juichirou,Naumovich,Senior Staff,1/1/9999
13385,Claudi,Buchter,Senior Staff,1/1/9999
13386,Khosrow,Sgarro,Technique Leader,1/1/9999
13389,Divine,Cmelik,Senior Staff,1/1/9999
13392,Fumitake,Beidas,Senior Staff,1/1/9999
13396,Chuanyi,Aumann,Senior Staff,1/1/9999
13402,Augustine,Dulli,Engineer,1/1/9999
13405,Randy,Baba,Senior Staff,1/1/9999
13407,Gio,Chenoweth,Senior Engineer,1/1/9999
13408,Sreekrishna,Lagarias,Senior Engineer,1/1/9999
13415,Nathalie,Speer,Technique Leader,1/1/9999
13422,Vishwani,Gerlach,Senior Engineer,1/1/9999
13442,Giordano,Miake,Senior Staff,1/1/9999
13443,Mayuko,Puppo,Senior Engineer,1/1/9999
13445,Renee,Dehkordi,Engineer,1/1/9999
13451,Gretta,Weiland,Senior Staff,1/1/9999
13457,Shooichi,Parfitt,Senior Engineer,1/1/9999
13458,Feipei,Nivat,Senior Engineer,1/1/9999
13463,Theron,Berstel,Senior Engineer,1/1/9999
13465,Sasan,Rehfuss,Engineer,1/1/9999
13493,Uinam,Jullig,Senior Engineer,1/1/9999
13504,Parto,Mandell,Engineer,1/1/9999
13521,Jaewoo,Tasistro,Engineer,2/18/1991
13524,Chaoyi,Porotnikoff,Senior Staff,1/1/9999
13535,Arunas,Schlenzig,Senior Engineer,1/1/9999
13546,Aimee,Brookner,Senior Engineer,1/1/9999
13549,Matk,Koprowski,Technique Leader,1/1/9999
13552,Ingmar,Capobianchi,Senior Staff,1/1/9999
13560,Sibyl,Jeong,Engineer,3/12/1998
13576,Jungsoon,Engberts,Senior Staff,1/1/9999
13578,Tadahiko,Christianini,Technique Leader,4/13/1997
13605,Dmitry,Encarnacion,Senior Staff,1/1/9999
13621,Fei,Haddadi,Engineer,1/1/9999
13624,Zhigen,Yurek,Senior Staff,1/1/9999
13629,Dzung,Trelles,Senior Engineer,1/1/9999
13648,Zejun,Lamba,Technique Leader,1/1/9999
13651,Stamatina,Plesums,Engineer,3/31/1990
13653,Kristen,Iivonen,Senior Staff,1/1/9999
13670,Moti,Takanami,Senior Engineer,1/1/9999
13680,Denny,Speer,Staff,1/1/9999
13684,Elvia,Christ,Senior Staff,3/30/2002
13685,Weicheng,Hockney,Senior Engineer,1/1/9999
13697,Shuichi,Weedon,Technique Leader,1/1/9999
13698,Domenico,Mitchem,Engineer,4/20/1997
13704,Vishu,Kumaresan,Senior Engineer,1/1/9999
13721,Sugwoo,Delgrossi,Senior Staff,1/1/9999
13727,Vitali,Merey,Staff,1/1/9999
13738,Bangqing,Mitchem,Engineer,1/1/9999
13747,Masaru,Capobianchi,Senior Staff,12/10/1987
13766,Tremaine,Heemskerk,Senior Staff,1/1/9999
13768,Sedat,Lovengreen,Staff,9/18/1990
